GREEN,"Electricity Charges - Westfield Sydney, 4-S7018/188 Pitt Street SYDNEY 2000 - 100% Green Energy Charge"
ENERGY_SERVICE,"Electricity Charges - Westfield Sydney, 4-S7018/188 Pitt Street SYDNEY 2000 - Daily Supply Charge"
ENERGY_LINE_ITEMS,"Electricity Charges - Westfield Sydney, 4-S7018/188 Pitt Street SYDNEY 2000 - Off Peak"
ENERGY_LINE_ITEMS,"Electricity Charges - Westfield Sydney, 4-S7018/188 Pitt Street SYDNEY 2000 - Peak"
ENERGY_LINE_ITEMS,"Electricity Charges - Westfield Sydney, 4-S7018/188 Pitt Street SYDNEY 2000 - Shoulder"
EXTRA_CHARGES,Late Payment Fee - Late Payment Fee
EXTRA_CHARGES,Backdated Green Energy Charges - Backdated Green Energy Charges
SEWERAGE_SERVICE,Service charges - Sewerage - Maximum charge for 1 residence - Your sewerage charges have been capped. Based on the rateable value of $52520 your charges would have been $399.28
ENERGY_SERVICE,Service charges - Water
ENERGY_LINE_ITEMS,Water use charges - Water use charges
ENERGY_SERVICE,Service charges - Additional service - Standard charge for 20 mm meter
DISCOUNTS,Service charges - Additional service discount - Community purpose
ENERGY_SERVICE,Service charges - Fire service - Service charge for 1 connection
OTHER_CHARGES,Service charges - Interest - Accrued on overdue amounts
DISCOUNTS,Service charges - Sewerage discount - Community purpose
SEWERAGE_SERVICE,Service charges - Sewerage non-residential - Service charge for 40 major fixtures
DISCOUNTS,Service charges - Water discount - Community purpose
ENERGY_SERVICE,Service charges - Water non-residential - Service charge for a 50 mm meter
SEWERAGE_SERVICE,Sewer volume charges - Sewer volume charges
ENERGY_SERVICE,Service charges - Fire service
ENERGY_SERVICE,Service charges - Water non-residential
SEWERAGE_SERVICE,Service charges - Drainage non-residential
ENERGY_SERVICE,Adjusted service charges - Additional service - Standard charge for 20 mm meter
DISCOUNTS,Adjusted service charges - Additional service discount - Community purpose
ENERGY_LINE_ITEMS,Adjusted water use charges - Adjusted water use charges
ENERGY_SERVICE,Reversal of previous charges - Additional service
DISCOUNTS,Reversal of previous charges - Additional service discount
ENERGY_OTHER,Reversal of previous charges - Water use
ENERGY_SERVICE,Service charges - Fire service - Service charge for 2 connections at $52.73 each
SEWERAGE_SERVICE,Service charges - Sewerage non-residential - Service charge for 36 major fixtures
ENERGY_SERVICE,Service charges - Water non-residential - Service charge for a 100 mm meter
OTHER_CHARGES,Interest
SEWERAGE_SERVICE,Service charges - Sewerage non-residential
ENERGY_SERVICE,Service charges - Fire service - Service charge for 2 connections
ENERGY_SERVICE,Service charges - Water non-residential - Service charge for a 40 mm meter
SEWERAGE_SERVICE,Service charges - Drainage non-residential - Minimum charge
SEWERAGE_SERVICE,Service charges - Sewerage non-residential - Service charge for 2 major fixtures
ENERGY_SERVICE,Service charges - Water non-residential - Service charge for a 20 mm meter
ENERGY_LINE_ITEMS,Energy Charges - FVGP Energy
ENERGY_OTHER,Energy Charges - Fixed Retail Margin - Gen
ENERGY_OTHER,Energy Charges - Pool Pass Through Charges Export From Site
ENERGY_SERVICE,Energy Charges - Service & Admin Fee
MARKET,Market Charges - AEMO Pool Charge (GST Exempt) - Nov 25
MARKET,Market Charges - AEMO UFE Charge
CERTIFICATES,Market Charges - LRET Charge
CERTIFICATES,Market Charges - SRES Charge
OTHER_CHARGES,Other Charges - CT Compliance Testing Levy
METERING,Other Charges - Meter Charge (3 Meters)
METERING,Meter Charge (3 Meters)
MARKET,Market Charges - AEMO Pool Charge (GST Exempt)
CERTIFICATES,Market Charges - VEET Charge
ENERGY_OTHER,Energy Charges - Retailer Fixed Margin - Import
MARKET,Market Charges - AEMO Pool Charge
DISCOUNTS,Discount - Discount (5% Guaranteed Discount on Usage) NMI: 43113311184
GREEN,Energy Charges - 25%GreenPower Charges
ENERGY_LINE_ITEMS,Energy Charges - Off Peak Usage
ENERGY_LINE_ITEMS,Energy Charges - Peak Usage
OTHER_CHARGES,Energy Charges - Rounding Adjustment
GREEN,Energy Charges - 25% GreenPower Charges
MARKET,Energy Charges - AEMO ancillary charge
MARKET,Energy Charges - AEMO pool fees
DEMANDS,Energy Charges - Demand
CERTIFICATES,Energy Charges - ESC
CERTIFICATES,Energy Charges - LRET
METERING,Energy Charges - Metering Charge
NETWORK_SERVICE,Energy Charges - Network Daily Charge
NETWORK_LINE_ITEMS,Energy Charges - Network Off Peak
NETWORK_LINE_ITEMS,Energy Charges - Network Peak
CERTIFICATES,Energy Charges - SREC
OTHER_CHARGES,Rounding Adjustment
DISCOUNTS,Discount - Discount (35% Guaranteed on Usage Discount) MIRN: 53211811596
ENERGY_LINE_ITEMS,Energy Charges - Usage Charge - step 1
ENERGY_LINE_ITEMS,Energy Charges - Usage Charge - step 2
ENERGY_LINE_ITEMS,Energy Charges - Usage Charge - step 3
ENERGY_LINE_ITEMS,Energy Charges - Usage Charge - step 4
DISCOUNTS,Discount - Discount (30% Usage Discount) DPI: 52469923892
ENERGY_LINE_ITEMS,Energy Charges - Usage Charge - step 5
DISCOUNTS,Discount - Discount (35% Guaranteed on Usage Discount) MIRN: 53109112834
ENERGY_LINE_ITEMS,Energy Charges - Off Peak Usage - step 1
ENERGY_LINE_ITEMS,Energy Charges - Off Peak Usage - step 2
ENERGY_LINE_ITEMS,Energy Charges - Off Peak Usage - step 3
ENERGY_LINE_ITEMS,Energy Charges - Off Peak Usage - step 4
OTHER_CHARGES,Rounding Adjustment - Rounding Adjustment
DISCOUNTS,Discount - Discount (23% Guaranteed on Usage Discount) MIRN: 55106148943
NETWORK_LINE_ITEMS,Energy Charges - Network Shoulder
DEMANDS,Energy Charges - Off Peak Demand
DEMANDS,Energy Charges - Peak Demand
DEMANDS,Energy Charges - Shoulder Demand
ENERGY_LINE_ITEMS,Regional Non Interconnnected System - Regional Non Interconnnected System
ENERGY_SERVICE,Regional Non Interconnnected System - Supply Charge
ENERGY_LINE_ITEMS,L2 Small Business - L2
ENERGY_SERVICE,L2 Small Business - Supply Charge
ENERGY_LINE_ITEMS,L2 Small Business NO Buyback - L2NB
ENERGY_SERVICE,L2 Small Business NO Buyback - Supply Charge
ENERGY_LINE_ITEMS,L4 Medium/Large Business - L4 Medium/Large Business
ENERGY_SERVICE,L4 Medium/Large Business - Supply Charge
ENERGY_LINE_ITEMS,"L4 Medium/Large Business - 5,088.32 units @ 34.7075 cents per unit"
ENERGY_LINE_ITEMS,A2 Residential - 188.339 units @ 29.4290 cents per unit
ENERGY_LINE_ITEMS,A2 Residential - 274.661 units @ 28.7112 cents per unit
ENERGY_SERVICE,A2 Residential - Supply Charge
ENERGY_SOLAR,"Distributed Energy Buyback Scheme - Off-peak 1,065 units @ -3.0000 cents per unit"
ENERGY_SOLAR,Distributed Energy Buyback Scheme - Peak 95 units @ -10.0000 cents per unit
ENERGY_LINE_ITEMS,L2 Small Business - L2 Small Business
ENERGY_LINE_ITEMS,"L2 Small Business - 1,695 units @ 29.3102 cents per unit"
ENERGY_LINE_ITEMS,L2 Small Business NO Buyback - 443 units @ 28.5953 cents per unit
ENERGY_LINE_ITEMS,L4 Medium/Large Business - L4
ENERGY_SERVICE,Supply and usage - Supply - Business plan
ENERGY_LINE_ITEMS,Supply and usage - Usage first 41.0959 MJ per day
ENERGY_LINE_ITEMS,Supply and usage - Usage next 1489.3151 MJ per day
ENERGY_LINE_ITEMS,Supply and usage - Usage next 442.1918 MJ per day
ENERGY_LINE_ITEMS,Supply and usage - Usage thereafter
DISCOUNTS,Discounts - Discount - First 330 kWh
ENERGY_LINE_ITEMS,Electricity consumption charges - Electricity consumption
ENERGY_SERVICE,Supply charges - Supply - Business plan
ENERGY_SOLAR,Credits rebates and discounts - ACT Net Solar Business
DISCOUNTS,Credits rebates and discounts - Discount - First 330 kWh
OTHER_CHARGES,Other charges - Late Payment Fee Electricity ACT
DEMANDS,Supply and usage - Maximum demand November
EXTRA_CHARGES,Other - Late Payment Fee Electricity ACT
ENERGY_LINE_ITEMS,Supply and usage - Business usage
ENERGY_LINE_ITEMS,Supply and usage - Evening usage
ENERGY_LINE_ITEMS,Supply and usage - Off-peak usage
ENERGY_SERVICE,Supply and usage - Supply - Business Time-of-use
DEMANDS,Supply and usage - Low Voltage Maximum Demand
ENERGY_SERVICE,Supply and usage - Supply - Low Voltage
OTHER_CHARGES,Adjustments - Cents Rounded Down Energy
DISCOUNTS,Discounts - Billing Time Bundle Discount - BE LV Business
DISCOUNTS,Discounts - Billing Time Bundle Discount - Low Voltage Supply Charge
DISCOUNTS,Discounts - Billing Time Bundle Discount - OE LV Offpeak
DISCOUNTS,Discounts - Billing Time Bundle Discount - SE LV Evening
ENERGY_LINE_ITEMS,Electricity consumption charges - BE LV Business
ENERGY_LINE_ITEMS,Electricity consumption charges - OE LV Offpeak Weekend
ENERGY_LINE_ITEMS,Electricity consumption charges - SE LV Evening
DEMANDS,Supply charges - Low Voltage time-of-use demand XMC
DEMANDS,Network energy charges - Demand Charge (256)
NETWORK_LINE_ITEMS,Network energy charges - NETWORK METERED ENERGY - Business Energy
NETWORK_LINE_ITEMS,Network energy charges - NETWORK METERED ENERGY - Off-Peak Energy
NETWORK_SERVICE,Network energy charges - Supply Charge (256 LV)
OTHER_CHARGES,Adjustments - Network Charge Adj- CR
CERTIFICATES,Other Charges - E&REC - VEET Charge
DISCOUNTS,Credits - 25% Guaranteed discount
ENERGY_SERVICE,Usage and supply charges - Energy accounting services
ENERGY_OTHER,Usage and supply charges - LGC
DISCOUNTS,Credits - 26% Guaranteed Discount
DISCOUNTS,Credits - 47% Guaranteed Discount
ENERGY_LINE_ITEMS,Energy Plan & Price Change - General Usage
ENERGY_SERVICE,Energy Plan & Price Change - Supply charge
DISCOUNTS,Credits - 15% Guaranteed discount
DEMANDS,Usage and supply charges - Apr Demand (normalised for 30 days)
DEMANDS,Usage and supply charges - Feb Demand (normalised for 27 days)
DEMANDS,Usage and supply charges - Mar Demand (normalised for 31 days)
DISCOUNTS,Credits - 24% Guaranteed discount
NETWORK_OTHER,Network Charges - Export kWh Charge
METERING,Network Charges - SA Power Metering Charges
CERTIFICATES,Renewable Energy Charges - Renewable Energy Charge - REPS
ENERGY_SERVICE,Energy Charges - Monthly Fixed Charge
DEMANDS,Network Charges - Country Demand
METERING,Network Charges - Metering Equipment Charge
DEMANDS,Network Charges - Pressure Reduction Charge
OTHER_CHARGES,Adjustments - Environmental Charge Adj DR
NETWORK_LINE_ITEMS,Network Charges - Network High Season Peak
NETWORK_LINE_ITEMS,Network Charges - Network Solar Soak
DEMANDS,Usage and supply charges - Nov Demand (normalised for 30 days)
DEMANDS,Usage and supply charges - Oct Demand (normalised for 31 days)
DEMANDS,Usage and supply charges - Sep Demand (normalised for 30 days)
ENERGY_LINE_ITEMS,Price change - 7 Feb 20 to 23 Apr 20 (77 days) - General Usage
ENERGY_SERVICE,Price change - 7 Feb 20 to 23 Apr 20 (77 days) - Supply charge
ENERGY_LINE_ITEMS,Off peak season - General usage
ENERGY_LINE_ITEMS,Off peak season - General usage next
ENERGY_LINE_ITEMS,Peak season - General usage
ENERGY_LINE_ITEMS,Peak season - General usage next
ENERGY_SERVICE,Unchanged rate - Supply charge
DISCOUNTS,Credits - 28% Guaranteed Discount
DEMANDS,Network Charges - Anytime Demand
OTHER_CHARGES,Adjustments - Environmental Charge Adj CR
ENERGY_SOLAR,Energy Charges - Off Peak Buy back
ENERGY_SOLAR,Energy Charges - Peak Buy back
ENERGY_SOLAR,Energy Charges - Shoulder Buy back
OTHER_CHARGES,Other Charges - Interest Charges
OTHER_CHARGES,Other Charges - STTM Activity Charge
DEMANDS,Network Charges - Demand Charge
DEMANDS,Network Charges - Summer Incentive Demand
CERTIFICATES,Renewable Energy Charges - E&REC - VEET Flexi Renewable
ENERGY_LINE_ITEMS,Synergy Gas Plan - Flexi - Anytime consumption
CAPACITIES,Custom Electricity Large Complex - Capacity charge
CERTIFICATES,Custom Electricity Large Complex - Large-scale renewable energy target charge
MARKET,Custom Electricity Large Complex - NCESS Charge
NETWORK_LINE_ITEMS,Custom Electricity Large Complex - Network charge
ENERGY_LINE_ITEMS,Custom Electricity Large Complex - Off-peak energy charge
ENERGY_LINE_ITEMS,Custom Electricity Large Complex - On-peak energy charge
MARKET,Custom Electricity Large Complex - Regulation ESS Charge
CERTIFICATES,Custom Electricity Large Complex - Small-scale Renewable Energy Scheme charge
ENERGY_LINE_ITEMS,Non??egulated retail charges - Non Regulated Off-Peak Energy
ENERGY_LINE_ITEMS,Non??egulated retail charges - Non Regulated Peak Energy
METERING,Regulated network charges - Low Voltage CT Metering Charge
NETWORK_LINE_ITEMS,Regulated network charges - Low Voltage Network Anytime Energy
DEMANDS,Regulated network charges - Off Peak Demand
DEMANDS,Regulated network charges - Off Season Peak Demand Charge
NETWORK_SERVICE,Regulated network charges - System Access Charge (NMI/Day)
MARKET,Regulated network charges - System Control Charge
ENERGY_LINE_ITEMS,Electricity charges - Government Flat Rate - DWN Peak
CERTIFICATES,Environmental charges - Large Scale Renewable Energy
CERTIFICATES,Environmental charges - Small Scale Renewable Energy
MARKET,Regulated network charges - Market Operator Charge
NETWORK_SERVICE,Regulated network charges - System Access Charge
DEMANDS,Regulated network charges - On Season Peak Demand Charge
NETWORK_SERVICE,NETWORK - DUOS Volume block 1
NETWORK_SERVICE,NETWORK - DUOS Volume block 2
NETWORK_SERVICE,NETWORK - DUOS Volume block 3
NETWORK_SERVICE,NETWORK - DUOS Volume block 4
NETWORK_SERVICE,NETWORK - Daily Charge
MARKET,OTHER - AEMO Bulletin Board Charge
MARKET,OTHER - AEMO Commodity Charge
METERING,OTHER - AEMO Distribution Meter Fee
MARKET,OTHER - AEMO ECA Fee
MARKET,OTHER - AEMO FRC Charge
MARKET,OTHER - AEMO Gas Statement Of Opportunities Fee
ENERGY_SERVICE,OTHER - Datalogger Fee
ENERGY_SERVICE,OTHER - Invoice Validation Services
ENERGY_SERVICE,TRANSMISSION - Peak Injection Charge
ENERGY_SERVICE,TRANSMISSION - Transmission Delivery Charge
ENERGY_LINE_ITEMS,USAGE - Energy
ENERGY_LINE_ITEMS,USAGE - Overrun Charge
DEMANDS,NETWORK - Non-Summer Demand
DEMANDS,Business Demand - Demand Non Summer
DEMANDS,Business Demand - Demand Temperate Peak
ENERGY_SERVICE,Business Demand - Service to Property Charge
ENERGY_LINE_ITEMS,Business Demand - Total Off Peak
ENERGY_LINE_ITEMS,Business Demand - Total Peak
ENERGY_LINE_ITEMS,Business Demand - Total Shoulder
ENERGY_SERVICE,Gas Charges - Service to Property Charge
ENERGY_LINE_ITEMS,Gas Charges - Step1
ENERGY_SERVICE,ELECTRICITY CHARGES - Service to Property Charge
ENERGY_LINE_ITEMS,ELECTRICITY CHARGES - Total Anytime
DEMANDS,Electricity Charges - Demand Non Summer
ENERGY_LINE_ITEMS,Electricity Charges - Total Off Peak
ENERGY_LINE_ITEMS,Electricity Charges - Total Peak
ENERGY_LINE_ITEMS,Electricity Charges - Total Shoulder
ENERGY_LINE_ITEMS,Off Peak - Off Peak
ENERGY_LINE_ITEMS,Peak - Peak
ENERGY_LINE_ITEMS,Shoulder - Shoulder
ENERGY_LINE_ITEMS,Gas Charges - Step2
ENERGY_LINE_ITEMS,Gas Charges - Step3
DISCOUNTS,TRANSACTIONS SINCE PREVIOUS ACCOUNT - Pay On Time??Discount applied to previous invoice(s)
CAPACITIES,Network charges - Connection Capacity
DEMANDS,Network charges - Maximum Demand
NETWORK_LINE_ITEMS,Network charges - Seasonal Variable - Summer Night
NETWORK_LINE_ITEMS,Network charges - Seasonal Variable - Summer Off Peak
NETWORK_LINE_ITEMS,Network charges - Seasonal Variable - Summer Peak
CAPACITIES,Network charges - Transformer Capacity
CAPACITIES,Network charges - Transformer Monthly
NETWORK_LINE_ITEMS,Network charges - Seasonal Variable - Winter Night
NETWORK_LINE_ITEMS,Network charges - Seasonal Variable - Winter Off Peak
NETWORK_LINE_ITEMS,Network charges - Seasonal Variable - Winter Peak
NETWORK_SERVICE,Network charges - Fixed Daily Network Charge
NETWORK_LINE_ITEMS,Network charges - Variable Network Charge - Day
NETWORK_LINE_ITEMS,Network charges - Variable Network Charge - Night
NETWORK_SERVICE,Network charges - Fixed Daily Charge
MARKET,Market - AEMO Distribution
MARKET,Market - AEMO FRC
MARKET,Market - AEMO Tariff
NETWORK_OTHER,Network - DUOS
MARKET,Other Charges - DWGM AEMO charge June - 2025
ENERGY_SERVICE,Retail Energy - Retail Service Charge
ENERGY_LINE_ITEMS,Retail Energy - Variable Gas Charge
DEMANDS,Transmission - Peak Injection
NETWORK_OTHER,Transmission - Withdrawal
NETWORK_OTHER,Withdrawal
CERTIFICATES,Environmental - LRET Charge
CERTIFICATES,Environmental - SRES Charge
MARKET,Market - AEMO Market Fees
DEMANDS,Network - DUOS Demand
NETWORK_SERVICE,Network - DUOS Network Daily Charge
NETWORK_SERVICE,Network - DUOS Network Daily Charge - CAV
NETWORK_LINE_ITEMS,Network - DUOS Peak
OTHER_CHARGES,Network - Jurisdiction Scheme Daily Charge
OTHER_CHARGES,Network - Jurisdiction Scheme Volume Charge
DEMANDS,Network - TUOS Demand
NETWORK_LINE_ITEMS,Network - TUOS Peak
MARKET,Other Charges - AEMO QLD UFE Charge Adjustment - Feb 25
MARKET,Other Charges - QLD UFE Charge - Aug 25
METERING,Retail Energy - Metering Charge
ENERGY_LINE_ITEMS,Retail Energy - Off Peak
ENERGY_LINE_ITEMS,Retail Energy - Peak
ENERGY_LINE_ITEMS,"Usage, supply charges and applicable credits - Anytime - Step 1"
ENERGY_SERVICE,"Usage, supply charges and applicable credits - Daily Charge"
METERING,Meter - DMA Metering Charge
NETWORK_SERVICE,Network - DUOS Network Daily Cost
NETWORK_LINE_ITEMS,Network - DUOS Volume
METERING,Network - SCS Metering Fixed Charge
NETWORK_SERVICE,Network - TUOS Network Daily Cost
NETWORK_LINE_ITEMS,Network - TUOS Volume
EXTRA_CHARGES,Opening balance and payments received - AUS Gov Energy Relief
ENERGY_LINE_ITEMS,"Usage, supply charges and applicable credits - Peak - Step 1"
MARKET,Market Charges - Ancillary Charge
CAPACITIES,Market Charges - Capacity Charge
MARKET,Market Charges - Market Fee
DISCOUNTS,Network Distribution Charges - Discount
NETWORK_SERVICE,Network Distribution Charges - Fixed Demand Charge (0 to 300)
DEMANDS,Network Distribution Charges - Variable Demand Charge (0 to 300)
METERING,Network Other Charges - Metering Fixed Charge
METERING,Network Other Charges - Metering Service Charge M9
DISCOUNTS,Network Transmission Charges - Discount
DEMANDS,Network Transmission Charges - Variable Demand Charge (0 to 300)
ENERGY_SERVICE,Electricity Charges Continued - Retail Service Charge
ENERGY_LINE_ITEMS,"Usage, supply charges and applicable credits - Off Peak"
ENERGY_LINE_ITEMS,"Usage, supply charges and applicable credits - Peak"
OTHER_CHARGES,"Usage, supply charges and applicable credits - Rounding Adjustment"
ENERGY_LINE_ITEMS,"Usage, supply charges and applicable credits - Shoulder"
ENERGY_SOLAR,"Usage, supply charges and applicable credits - Standard Solar"
MARKET,Other Charges - DWGM AEMO charge October - 2024
NETWORK_LINE_ITEMS,Network Distribution Charges - Anytime Energy Charge
NETWORK_SERVICE,Network Distribution Charges - Fixed Charge
METERING,Network Distribution Charges - Metering Fixed Charge
METERING,Network Other Charges - Metering Service Charge M10
NETWORK_LINE_ITEMS,Network Transmission Charges - Anytime Energy Charge
CAPACITIES,Electricity Charges Continued - Capacity Charge
NETWORK_LINE_ITEMS,Network Distribution Charges - Anytime Energy Charge - Electricity Network Weekday Offpeak
NETWORK_LINE_ITEMS,Network Distribution Charges - Anytime Energy Charge - Electricity Network Weekday Peak
NETWORK_LINE_ITEMS,Network Distribution Charges - Anytime Energy Charge - Electricity Network Weekday Shoulder
NETWORK_LINE_ITEMS,Network Distribution Charges - Anytime Energy Charge - Electricity Network Weekend Offpeak
NETWORK_LINE_ITEMS,Network Transmission Charges - Anytime Energy Charge - Electricity Network Weekday Offpeak
NETWORK_LINE_ITEMS,Network Transmission Charges - Anytime Energy Charge - Electricity Network Weekday Peak
NETWORK_LINE_ITEMS,Network Transmission Charges - Anytime Energy Charge - Electricity Network Weekday Shoulder
NETWORK_LINE_ITEMS,Network Transmission Charges - Anytime Energy Charge - Electricity Network Weekend Offpeak
ENERGY_SERVICE,Details of Gas Supply Charges - Account Service Fee
ENERGY_LINE_ITEMS,Details of Gas Supply Charges - Business and General Gas Usage First 14.77 Units per day
ENERGY_SERVICE,Details of Gas Supply Charges - Daily Supply Charge
CERTIFICATES,Environmental - VEEC Charge
NETWORK_OTHER,Network - O&M
MARKET,Other Charges - DWGM AEMO charge April - 2025
ENERGY_OTHER,Retail Energy - Contract MDQ Overrun
ENERGY_LINE_ITEMS,Details of Gas Supply Charges - Business and General Gas Usage
OTHER_CHARGES,Details of Gas Supply Charges - Rounding Credit
CERTIFICATES,Environmental - VEET Charge
CAPACITIES,Network - Capacity Demand
DEMANDS,Network - Critical Demand
NETWORK_SERVICE,Network - Network Daily Cost
NETWORK_LINE_ITEMS,Network - Off Peak
NETWORK_LINE_ITEMS,Network - Peak
NETWORK_LINE_ITEMS,Network - Shoulder
MARKET,Other Charges - AEMO VIC UFE Charge Adjustment - Apr 25
OTHER_CHARGES,Other Charges - VIC Directional Charge - Oct 25
MARKET,Other Charges - VIC UFE Charge - Oct 25
ENERGY_SOLAR,Retail Energy - Solar Rebate
METERING,Network Other Charges - Metering Service Charge M13
METERING,Network Other Charges - Metering Service Charge M7 - AMI
OTHER_CHARGES,"Usage, supply charges and applicable credits - DMA Metering Charge"
ENERGY_LINE_ITEMS,Details of Gas Supply Charges - Business and General Gas Usage First 0.95 Units per day
OTHER_CHARGES,Details of Gas Supply Charges - Overdue Notice Fee
MARKET,Other Charges - DWGM AEMO charge May - 2025
OTHER_CHARGES,Details of Gas Supply Charges - Rounding Debit
EXTRA_CHARGES,Opening balance and payments received - AUS SA Gov Bill Relief
GREEN,Environmental - 80% Green Power Charge
DEMANDS,Network - Anytime Demand
MARKET,Other Charges - AEMO VIC UFE Charge Adjustment - Mar 25
GREEN,Other Charges - Adj - GreenPower rate correction Feb 2021 to Aug 2025
MARKET,Other Charges - VIC UFE - Sep 25
ENERGY_LINE_ITEMS,Details of Gas Supply Charges - Residential Gas Usage
ENERGY_LINE_ITEMS,Details of Gas Supply Charges - Business and General Gas Usage First 0.24 Units per day
NETWORK_LINE_ITEMS,Network Distribution Charges - Anytime Energy Charge - Electricity Network Daily Off-peak
NETWORK_LINE_ITEMS,Network Distribution Charges - Anytime Energy Charge - Electricity Network Daily Off-peak 2
NETWORK_LINE_ITEMS,Network Distribution Charges - Anytime Energy Charge - Electricity Network Daily Peak
NETWORK_LINE_ITEMS,Network Distribution Charges - Anytime Energy Charge - Electricity Network Daily Shoulder
NETWORK_LINE_ITEMS,Network Distribution Charges - Anytime Energy Charge - Electricity Network Daily Shoulder 2
NETWORK_LINE_ITEMS,Network Distribution Charges - Anytime Energy Charge - Electricity Network Daily Super Off-peak
NETWORK_LINE_ITEMS,Network Transmission Charges - Anytime Energy Charge - Electricity Network Daily Off-peak
NETWORK_LINE_ITEMS,Network Transmission Charges - Anytime Energy Charge - Electricity Network Daily Off-peak 2
NETWORK_LINE_ITEMS,Network Transmission Charges - Anytime Energy Charge - Electricity Network Daily Peak
NETWORK_LINE_ITEMS,Network Transmission Charges - Anytime Energy Charge - Electricity Network Daily Shoulder
NETWORK_LINE_ITEMS,Network Transmission Charges - Anytime Energy Charge - Electricity Network Daily Shoulder 2
MARKET,Other Charges - AEMO QLD UFE Charge Adjustment - Mar 25
MARKET,Other Charges - QLD UFE - Sep 25
MARKET,Other Charges - AEMO QLD UFE Charge Adjustment - Apr 25
MARKET,Other Charges - QLD UFE Charge - Oct 25
EXTRA_CHARGES,AUS SA Gov Bill Relief
ENERGY_SERVICE,Usage and supply charges - Daily Charge
ENERGY_LINE_ITEMS,Usage and supply charges - Peak - Step 1
ENERGY_LINE_ITEMS,Details of Gas Supply Charges - Business and General Gas Usage First 0.00 Units per day
GREEN,Environmental - 100% Green Power
MARKET,Other Charges - AEMO VIC UFE Charge Adjustment - Jan 25
MARKET,Other Charges - VIC UFE Charge - Jul 25
ENERGY_LINE_ITEMS,Details of Gas Supply Charges - Business and General Gas Usage First 10.98 Units per day
ENERGY_LINE_ITEMS,Details of Gas Supply Charges - Business and General Gas Usage First 15.00 Units per day
ENERGY_LINE_ITEMS,"Usage, supply charges and applicable credits - Peak - Step 2"
OTHER_CHARGES,OTHER Charges - Service Labour Additional Fees 9500373054
OTHER_CHARGES,OTHER Charges - LPG Equipment Fee - Exch Cyls vapour 45kg
ENERGY_LINE_ITEMS,INSITU Delivery Details - LPG Propane LT
OTHER_CHARGES,OTHER Charges - LPG Equipment Fee - Insitu Cyl 190kg
EXTRA_CHARGES,Adjustments - Charges last account reversed
NETWORK_SERVICE,Network energy charges - Supply Charge (104 LV) XMC
CERTIFICATES,Renewable energy target - ACT Govt LRET Recovery
CERTIFICATES,Renewable energy target - ACT Govt SRES Recovery
CERTIFICATES,Renewable energy target - LRET Recovery Adjustment
CERTIFICATES,Renewable energy target - SRES Recovery Adjustment Electricity
ENERGY_LINE_ITEMS,Retail energy charges - ENERGY - Business
ENERGY_LINE_ITEMS,Retail energy charges - ENERGY - Off-peak WE
ENERGY_LINE_ITEMS,Retail energy charges - ENERGY - Shoulder
ENERGY_SOLAR,Exports (credits for solar generation) - Solar export
OTHER_CHARGES,Other - Australian Government Energy Bill Relief
DISCOUNTS,Other - Discount
DEMANDS,Supply and usage - Maximum demand
ENERGY_SERVICE,Supply and usage - Supply - Business Demand plan
ENERGY_LINE_ITEMS,Supply and usage - Usage
DEMANDS,Network energy charges - Demand Charge
NETWORK_LINE_ITEMS,Network energy charges - Network Energy Charge
NETWORK_SERVICE,Network energy charges - Network Supply Charge
CAPACITIES,Network energy charges - Capacity Charge (305)
NETWORK_LINE_ITEMS,Network energy charges - NSW EA LV (305) - Business Energy
NETWORK_LINE_ITEMS,Network energy charges - NSW EA LV (305) - Off-peak Energy
NETWORK_SERVICE,Network energy charges - Supply Charge (305 LV)
ENERGY_SOLAR,Renewable energy generator payment (credit) - Solar Rebate NSW
CERTIFICATES,Renewable energy target - NSW Energy Saving Scheme
CERTIFICATES,Renewable energy target - NSW PDRS
ENERGY_LINE_ITEMS,Retail energy charges - RETAIL METERED ENERGY - Business Energy
ENERGY_LINE_ITEMS,Retail energy charges - RETAIL METERED ENERGY - Off-peak Energy
ENERGY_LINE_ITEMS,Retail energy charges - RETAIL METERED ENERGY - Shoulder Energy
NETWORK_LINE_ITEMS,NETWORK - All Day Network
DEMANDS,NETWORK - Summer Demand
CERTIFICATES,OTHER - Environment Fee IREC
CERTIFICATES,OTHER - Environment Fee VEEC
MARKET,OTHER - Market Fee FRC
DEMANDS,NETWORK - Critical Peak Demand
CAPACITIES,NETWORK - Demand Capacity
DEMANDS,NETWORK - Rolling Demand
DEMANDS,NETWORK - Summer Demand Incentive Charge
ENERGY_SERVICE,Your Plan Single Rate Business - Service to Property Charge
ENERGY_LINE_ITEMS,Your Plan Single Rate Business - Total Anytime
CAPACITIES,NETWORK - Rolling Capacity
DEMANDS,NETWORK - Summer Demand Incentive
NETWORK_LINE_ITEMS,NETWORK - All Other Times Network
NETWORK_LINE_ITEMS,NETWORK - Demand - Low Season Peak
NETWORK_LINE_ITEMS,NETWORK - Solar Soak Network
EXTRA_CHARGES,Peak DMD Reduction 2024 Actual (GST inc)
NETWORK_LINE_ITEMS,Network Charges - All Other Energy
DEMANDS,Network Charges - Demand
ENERGY_SOLAR,Network Charges - Feed-In Credit
NETWORK_LINE_ITEMS,Network Charges - Solar Soak Energy
